lexicon,specific,word
sentiment,negative,callous
sentiment,negative,calumniate
sentiment,negative,calumniation
sentiment,negative,calumnies
sentiment,negative,calumnious
sentiment,negative,calumniously
sentiment,negative,calumny
sentiment,negative,cancer
sentiment,negative,cancerous
sentiment,negative,cannibal
sentiment,negative,cannibalize
sentiment,negative,capitulate
sentiment,negative,capricious
sentiment,negative,capriciously
sentiment,negative,capriciousness
sentiment,negative,capsize
sentiment,negative,careless
sentiment,negative,carelessness
sentiment,negative,caricature
sentiment,negative,carnage
sentiment,negative,carp
sentiment,negative,cartoonish
sentiment,negative,cash-strapped
sentiment,negative,castigate
sentiment,negative,castrated
sentiment,negative,casualty
sentiment,negative,cataclysm
sentiment,negative,cataclysmal
sentiment,negative,cataclysmic
sentiment,negative,cataclysmically
sentiment,negative,catastrophe
sentiment,negative,catastrophes
sentiment,negative,catastrophic
sentiment,negative,catastrophically
sentiment,negative,catastrophies
sentiment,negative,caustic
sentiment,negative,caustically
sentiment,negative,cautionary
sentiment,negative,cave
sentiment,negative,censure
sentiment,negative,chafe
sentiment,negative,chaff
sentiment,negative,chagrin
sentiment,negative,challenging
sentiment,negative,chaos
sentiment,negative,chaotic
sentiment,negative,chasten
sentiment,negative,chastise
sentiment,negative,chastisement
sentiment,negative,chatter
sentiment,negative,chatterbox
sentiment,negative,cheap
sentiment,negative,cheapen
sentiment,negative,cheaply
sentiment,negative,cheat
sentiment,negative,cheated
sentiment,negative,cheater
sentiment,negative,cheating
sentiment,negative,cheats
sentiment,negative,checkered
sentiment,negative,cheerless
sentiment,negative,cheesy
sentiment,negative,chide
sentiment,negative,childish
sentiment,negative,chill
sentiment,negative,chilly
sentiment,negative,chintzy
sentiment,negative,choke
sentiment,negative,choleric
sentiment,negative,choppy
sentiment,negative,chore
sentiment,negative,chronic
sentiment,negative,chunky
sentiment,negative,clamor
sentiment,negative,clamorous
sentiment,negative,clash
sentiment,negative,cliche
sentiment,negative,cliched
sentiment,negative,clique
sentiment,negative,clog
sentiment,negative,clogged
sentiment,negative,clogs
sentiment,negative,cloud
sentiment,negative,clouding
sentiment,negative,cloudy
sentiment,negative,clueless
sentiment,negative,clumsy
sentiment,negative,clunky
sentiment,negative,coarse
sentiment,negative,cocky
sentiment,negative,coerce
sentiment,negative,coercion
sentiment,negative,coercive
