Dumped model
['perspective_score', 'stanford_polite']
Looping through test_issues
wire-server/wireapp/142 0
stack/commercialhaskell/4291 0
stack/commercialhaskell/4295 0
Idris-dev/idris-lang/3841 0
Idris-dev/idris-lang/1972 0
wire-server/wireapp/150 0
Idris-dev/idris-lang/1088 0
yesod/yesodweb/423 0
stack/commercialhaskell/4294 0
wire-server/wireapp/148 0
yesod/yesodweb/422 0
Idris-dev/idris-lang/1087 0
Idris-dev/idris-lang/1971 0
Idris-dev/idris-lang/1085 0
wire-server/wireapp/129 0
Idris-dev/idris-lang/3840 0
wire-server/wireapp/146 0
Idris-dev/idris-lang/1970 0
Idris-dev/idris-lang/1084 0
yesod/yesodweb/421 0
wire-server/wireapp/145 0
stack/commercialhaskell/4292 0
Idris-dev/idris-lang/1969 0
Idris-dev/idris-lang/1082 0
Idris-dev/idris-lang/3839 0
wire-server/wireapp/143 0
Idris-dev/idris-lang/2797 0
Idris-dev/idris-lang/1080 0
stack/commercialhaskell/4293 0
Idris-dev/idris-lang/1966 0
Idris-dev/idris-lang/1075 0
Idris-dev/idris-lang/3834 0
stack/commercialhaskell/4282 0
Idris-dev/idris-lang/1958 0
wire-server/wireapp/120 0
Idris-dev/idris-lang/1957 0
Idris-dev/idris-lang/1070 0
wire-server/wireapp/119 0
yesod/yesodweb/415 0
Idris-dev/idris-lang/3828 0
Idris-dev/idris-lang/1956 0
Idris-dev/idris-lang/2790 0
Idris-dev/idris-lang/1069 0
Idris-dev/idris-lang/3827 0
yesod/yesodweb/985 0
wire-server/wireapp/118 0
yesod/yesodweb/984 0
stack/commercialhaskell/4281 0
Idris-dev/idris-lang/1955 0
wire-server/wireapp/110 0
Idris-dev/idris-lang/1067 0
Idris-dev/idris-lang/3826 0
yesod/yesodweb/983 0
Idris-dev/idris-lang/2789 0
wire-server/wireapp/105 0
Idris-dev/idris-lang/1954 0
wire-server/wireapp/104 0
stack/commercialhaskell/4280 0
Idris-dev/idris-lang/1068 0
Idris-dev/idris-lang/1089 0
wire-server/wireapp/123 0
Idris-dev/idris-lang/1959 0
yesod/yesodweb/417 0
wire-server/wireapp/127 0
Idris-dev/idris-lang/1965 0
Idris-dev/idris-lang/2792 0
yesod/yesodweb/989 0
Idris-dev/idris-lang/3833 0
Idris-dev/idris-lang/1074 0
Idris-dev/idris-lang/1964 0
Idris-dev/idris-lang/3832 0
yesod/yesodweb/988 0
Idris-dev/idris-lang/2791 0
Idris-dev/idris-lang/1963 0
yesod/yesodweb/416 0
Idris-dev/idris-lang/3831 0
Idris-dev/idris-lang/3830 0
Idris-dev/idris-lang/1962 0
yesod/yesodweb/987 0
